id,cd_mun,nm_mun,sigla_uf,area_km2,ter_ident,est_agrico,est_agricf,biomapredo
191,"2916856",Itatim,BA,547.510009765625,Piemonte do Paraguaçu,708,464,Caatinga
192,"2916906",Itiruçu,BA,322.243011474609,Vale do Jiquiriçá,614,445,Mata Atlântica
193,"2917003",Itiúba,BA,1650.59301757812,Sisal,3432,3038,Caatinga
194,"2917102",Itororó,BA,313.838989257812,Médio Sudoeste da Bahia,490,364,Mata Atlântica
195,"2917201",Ituaçu,BA,1199.3740234375,Sertão Produtivo,2652,1909,Caatinga
196,"2917300",Ituberá,BA,415.428009033203,Baixo Sul,1540,1413,Mata Atlântica
197,"2917334",Iuiu,BA,1525.14196777344,Sertão Produtivo,1096,821,Cerrado
198,"2917359",Jaborandi,BA,9955.11328125,Bacia do Rio Corrente,1320,1137,Cerrado
199,"2917409",Jacaraci,BA,1332.42004394531,Sudoeste Baiano,2493,2123,Caatinga
200,"2917508",Jacobina,BA,2192.90502929688,Piemonte da Diamantina,2294,1822,Caatinga
201,"2917607",Jaguaquara,BA,924.512023925781,Vale do Jiquiriçá,2406,2003,Mata Atlântica
202,"2917706",Jaguarari,BA,2466.00903320312,Piemonte Norte do Itapicuru,2007,1657,Caatinga
203,"2917805",Jaguaripe,BA,863.424011230469,Baixo Sul,2067,1761,Mata Atlântica
204,"2917904",Jandaíra,BA,640.77197265625,Litoral Norte e Agreste Baiano,668,394,Mata Atlântica
205,"2918100",Jeremoabo,BA,4267.48779296875,Semiárido Nordeste II,4169,3529,Caatinga
206,"2918209",Jiquiriçá,BA,238.660003662109,Vale do Jiquiriçá,2462,2019,Mata Atlântica
207,"2918308",Jitaúna,BA,262.049987792969,Médio Rio de Contas,1023,820,Mata Atlântica
208,"2918357",João Dourado,BA,913.257995605469,Irecê,1347,985,Caatinga
209,"2918407",Juazeiro,BA,6721.23681640625,Sertão do São Francisco,7288,4402,Caatinga
210,"2918456",Jucuruçu,BA,1457.65600585938,Extremo Sul,1281,1009,Mata Atlântica
211,"2918506",Jussara,BA,1355.17297363281,Irecê,1765,1402,Caatinga
212,"2918555",Jussari,BA,329.190002441406,Litoral Sul,194,108,Mata Atlântica
213,"2918605",Jussiape,BA,589.763000488281,Chapada Diamantina,809,739,Caatinga
214,"2918753",Lagoa Real,BA,912.221984863281,Sertão Produtivo,2307,1853,Caatinga
215,"2918803",Laje,BA,449.834014892578,Vale do Jiquiriçá,3942,2978,Mata Atlântica
216,"2918902",Lajedão,BA,624.35302734375,Extremo Sul,242,183,Mata Atlântica
217,"2919009",Lajedinho,BA,846.72802734375,Piemonte do Paraguaçu,499,371,Caatinga
218,"2919108",Lamarão,BA,189.25700378418,Sisal,1619,1131,Caatinga
219,"2919157",Lapão,BA,642.882019042969,Irecê,2432,1761,Caatinga
220,"2919207",Lauro de Freitas,BA,57.9420013427734,Metropolitano de Salvador,30,17,Mata Atlântica
221,"2919306",Lençóis,BA,1283.32800292969,Chapada Diamantina,497,277,Caatinga
222,"2919504",Livramento de Nossa Senhora,BA,1952.51000976562,Sertão Produtivo,4636,4069,Caatinga
223,"2919553",Luís Eduardo Magalhães,BA,4036.09399414062,Bacia do Rio Grande,429,180,Cerrado
224,"2919603",Macajuba,BA,701.171020507812,Piemonte do Paraguaçu,873,713,Caatinga
225,"2919702",Macarani,BA,1210.10595703125,Médio Sudoeste da Bahia,344,167,Mata Atlântica
226,"2919801",Macaúbas,BA,2459.10205078125,Bacia do Paramirim,7189,5799,Caatinga
227,"2919900",Macururé,BA,2545.85595703125,Itaparica,996,796,Caatinga
228,"2919926",Madre de Deus,BA,32.201000213623,Metropolitano de Salvador,0,0,Mata Atlântica
229,"2918001",Jequié,BA,2969.0390625,Médio Rio de Contas,2657,1975,Mata Atlântica
230,"2918704",Lafaiete Coutinho,BA,498.109985351562,Vale do Jiquiriçá,562,376,Mata Atlântica
231,"2920007",Maiquinique,BA,588.296997070312,Médio Sudoeste da Bahia,385,250,Mata Atlântica
232,"2920106",Mairi,BA,906.679992675781,Bacia do Jacuípe,2316,1766,Caatinga
233,"2920205",Malhada,BA,1979.19299316406,Velho Chico,1966,1530,Cerrado
234,"2920304",Malhada de Pedras,BA,550.549987792969,Sertão Produtivo,1662,1072,Caatinga
235,"2920452",Mansidão,BA,3129.587890625,Bacia do Rio Grande,1237,1038,Cerrado
236,"2920601",Maragogipe,BA,437.609985351562,Recôncavo,4044,3387,Mata Atlântica
237,"2920700",Maraú,BA,848.885009765625,Litoral Sul,2212,1670,Mata Atlântica
238,"2920809",Marcionílio Souza,BA,1099.28295898438,Chapada Diamantina,804,617,Caatinga
239,"2920908",Mascote,BA,742.689025878906,Litoral Sul,567,379,Mata Atlântica
240,"2921005",Mata de São João,BA,605.168029785156,Metropolitano de Salvador,515,375,Mata Atlântica
241,"2921054",Matina,BA,773.278015136719,Velho Chico,1361,1249,Caatinga
242,"2921104",Medeiros Neto,BA,1311.73901367188,Extremo Sul,746,485,Mata Atlântica
243,"2921203",Miguel Calmon,BA,1599.67199707031,Piemonte da Diamantina,2074,1371,Caatinga
244,"2921401",Mirangaba,BA,1751.77795410156,Piemonte da Diamantina,1777,1643,Caatinga
245,"2921450",Mirante,BA,1172.85998535156,Sudoeste Baiano,1577,1240,Caatinga
246,"2921500",Monte Santo,BA,3034.19702148438,Sisal,6488,5548,Caatinga
247,"2921708",Morro do Chapéu,BA,5744.96923828125,Chapada Diamantina,2471,2091,Caatinga
248,"2921807",Mortugaba,BA,528.213989257812,Sudoeste Baiano,1887,1369,Caatinga
249,"2921906",Mucugê,BA,2462.15307617188,Chapada Diamantina,814,638,Caatinga
250,"2922003",Mucuri,BA,1787.6259765625,Extremo Sul,987,752,Mata Atlântica
251,"2922052",Mulungu do Morro,BA,646.620971679688,Irecê,3116,2039,Caatinga
252,"2922102",Mundo Novo,BA,1491.98999023438,Piemonte do Paraguaçu,1710,1118,Caatinga
253,"2922201",Muniz Ferreira,BA,104.540000915527,Recôncavo,1025,675,Mata Atlântica
254,"2922250",Muquém do São Francisco,BA,3852.11108398438,Velho Chico,1488,1162,Cerrado
255,"2922300",Muritiba,BA,86.3109970092773,Recôncavo,1934,1415,Mata Atlântica
256,"2922409",Mutuípe,BA,275.85400390625,Vale do Jiquiriçá,3782,3279,Mata Atlântica
257,"2922508",Nazaré,BA,278.628997802734,Recôncavo,957,715,Mata Atlântica
258,"2922607",Nilo Peçanha,BA,388.936004638672,Baixo Sul,1660,1368,Mata Atlântica
259,"2922656",Nordestina,BA,465.407012939453,Sisal,1107,931,Caatinga
260,"2922706",Nova Canaã,BA,804.617004394531,Médio Sudoeste da Bahia,2136,1615,Mata Atlântica
261,"2923308",Ouriçangas,BA,156.981994628906,Litoral Norte e Agreste Baiano,1048,925,Mata Atlântica
262,"2923357",Ourolândia,BA,1544.98803710938,Piemonte da Diamantina,1279,1032,Caatinga
263,"2923506",Palmeiras,BA,737.453979492188,Chapada Diamantina,462,377,Caatinga
264,"2923605",Paramirim,BA,1087.06005859375,Bacia do Paramirim,2991,2206,Caatinga
265,"2923803",Paripiranga,BA,442.186004638672,Semiárido Nordeste II,5088,3882,Caatinga
266,"2923902",Pau Brasil,BA,626.306030273438,Litoral Sul,1039,950,Mata Atlântica
267,"2924009",Paulo Afonso,BA,1544.38793945312,Itaparica,1797,1454,Caatinga
268,"2924058",Pé de Serra,BA,596.77099609375,Bacia do Jacuípe,1677,1384,Caatinga
269,"2924108",Pedrão,BA,158.488006591797,Litoral Norte e Agreste Baiano,656,613,Mata Atlântica
270,"2924207",Pedro Alexandre,BA,889.572021484375,Semiárido Nordeste II,1788,1141,Caatinga
271,"2924306",Piatã,BA,1825.85705566406,Chapada Diamantina,1991,1572,Caatinga
272,"2924603",Pindobaçu,BA,495.845001220703,Piemonte Norte do Itapicuru,986,650,Caatinga
273,"2924652",Pintadas,BA,647.143981933594,Bacia do Jacuípe,1483,1159,Caatinga
274,"2924678",Piraí do Norte,BA,193.427001953125,Baixo Sul,2360,1018,Mata Atlântica
275,"2924801",Piritiba,BA,980.328002929688,Piemonte do Paraguaçu,1582,1020,Caatinga
276,"2923704",Paratinga,BA,2624.998046875,Velho Chico,3621,3125,Caatinga
277,"2921609",Morpará,BA,2093.8720703125,Velho Chico,828,613,Caatinga
278,"2924405",Pilão Arcado,BA,11597.9228515625,Sertão do São Francisco,5178,4860,Caatinga
279,"2920403",Manoel Vitorino,BA,2201.76391601562,Médio Rio de Contas,1703,1383,Caatinga
280,"2920502",Maracás,BA,2413.27001953125,Vale do Jiquiriçá,1465,990,Caatinga
281,"2921302",Milagres,BA,420.358001708984,Vale do Jiquiriçá,267,201,Caatinga
282,"2922730",Nova Fátima,BA,346.783996582031,Bacia do Jacuípe,1124,901,Caatinga
283,"2922755",Nova Ibiá,BA,203.197998046875,Médio Rio de Contas,873,646,Mata Atlântica
284,"2922854",Nova Redenção,BA,565.356018066406,Chapada Diamantina,1069,857,Caatinga
285,"2922904",Nova Soure,BA,966.992980957031,Semiárido Nordeste II,3537,2728,Caatinga
286,"2923001",Nova Viçosa,BA,1316.37902832031,Extremo Sul,552,446,Mata Atlântica
287,"2923035",Novo Horizonte,BA,627.5,Chapada Diamantina,878,725,Caatinga
288,"2923050",Novo Triunfo,BA,278.486999511719,Semiárido Nordeste II,1195,868,Caatinga
289,"2923100",Olindina,BA,637.317016601562,Litoral Norte e Agreste Baiano,2038,1575,Caatinga
290,"2923209",Oliveira dos Brejinhos,BA,3313.41796875,Velho Chico,2854,2397,Caatinga
291,"2925204",Pojuca,BA,314.932006835938,Metropolitano de Salvador,379,293,Mata Atlântica
292,"2925253",Ponto Novo,BA,530.143981933594,Piemonte Norte do Itapicuru,1431,1232,Caatinga
293,"2925303",Porto Seguro,BA,2285.73388671875,Costa do Descobrimento,1538,1040,Mata Atlântica
294,"2925402",Potiraguá,BA,1111.56701660156,Médio Sudoeste da Bahia,299,108,Mata Atlântica
295,"2925501",Prado,BA,1692.09997558594,Extremo Sul,1165,887,Mata Atlântica
296,"2925600",Presidente Dutra,BA,232.063995361328,Irecê,2292,1684,Caatinga
297,"2925709",Presidente Jânio Quadros,BA,1208.54895019531,Sudoeste Baiano,2104,1937,Caatinga
298,"2925758",Presidente Tancredo Neves,BA,441.820007324219,Baixo Sul,4412,3433,Mata Atlântica
299,"2925808",Queimadas,BA,2011.06005859375,Sisal,2311,1613,Caatinga
300,"2925907",Quijingue,BA,1380.79797363281,Sisal,4268,3557,Caatinga
301,"2925931",Quixabeira,BA,366.386993408203,Bacia do Jacuípe,980,801,Caatinga
302,"2926004",Remanso,BA,4573.5048828125,Sertão do São Francisco,3713,3217,Caatinga
303,"2926103",Retirolândia,BA,242.328994750977,Sisal,1310,945,Caatinga
304,"2926202",Riachão das Neves,BA,5977.93115234375,Bacia do Rio Grande,1628,1215,Cerrado
305,"2926509",Ribeira do Amparo,BA,644.22900390625,Semiárido Nordeste II,2769,2373,Caatinga
306,"2926608",Ribeira do Pombal,BA,1252.14404296875,Semiárido Nordeste II,5010,4128,Caatinga
307,"2926657",Ribeirão do Largo,BA,1363.69995117188,Sudoeste Baiano,1598,1213,Mata Atlântica
308,"2926707",Rio de Contas,BA,1115.251953125,Chapada Diamantina,1358,1016,Caatinga
309,"2926806",Rio do Antônio,BA,777.903015136719,Sertão Produtivo,2454,2060,Caatinga
310,"2926905",Rio do Pires,BA,656.223022460938,Bacia do Paramirim,1406,1126,Caatinga
311,"2927101",Rodelas,BA,2207.15893554688,Itaparica,997,789,Caatinga
312,"2927200",Ruy Barbosa,BA,1991.77197265625,Piemonte do Paraguaçu,1775,1320,Caatinga
313,"2927804",Santa Cruz da Vitória,BA,284.0830078125,Médio Sudoeste da Bahia,215,159,Mata Atlântica
314,"2927903",Santa Inês,BA,379.269989013672,Vale do Jiquiriçá,145,116,Mata Atlântica
315,"2928000",Santaluz,BA,1623.44494628906,Sisal,2589,1943,Caatinga
316,"2928059",Santa Luzia,BA,824.473022460938,Litoral Sul,1176,843,Mata Atlântica
317,"2928109",Santa Maria da Vitória,BA,1984.91003417969,Bacia do Rio Corrente,2719,2205,Cerrado
318,"2928208",Santana,BA,1909.35302734375,Bacia do Rio Corrente,2287,1897,Cerrado
319,"2928307",Santanópolis,BA,222.686004638672,Portal do Sertão,1323,1077,Caatinga
320,"2928406",Santa Rita de Cássia,BA,6030.4912109375,Bacia do Rio Grande,2368,1927,Cerrado
321,"2928703",Santo Antônio de Jesus,BA,261.739990234375,Recôncavo,2715,1996,Mata Atlântica
322,"2928901",São Desidério,BA,15156.7119140625,Bacia do Rio Grande,2305,1721,Cerrado
323,"2928950",São Domingos,BA,289.963012695312,Sisal,842,639,Caatinga
324,"2929008",São Félix,BA,103.225997924805,Recôncavo,987,868,Mata Atlântica
325,"2928505",Santa Terezinha,BA,719.257019042969,Piemonte do Paraguaçu,616,531,Mata Atlântica
326,"2925956",Rafael Jambeiro,BA,1090.55200195312,Piemonte do Paraguaçu,3085,2176,Caatinga
327,"2928604",Santo Amaro,BA,494.502014160156,Recôncavo,2963,2604,Mata Atlântica
328,"2927002",Rio Real,BA,739.775024414062,Litoral Norte e Agreste Baiano,3434,2069,Mata Atlântica
329,"2927309",Salinas da Margarida,BA,150.569000244141,Recôncavo,87,47,Mata Atlântica
330,"2927408",Salvador,BA,693.442016601562,Metropolitano de Salvador,50,33,Mata Atlântica
331,"2927606",Santa Brígida,BA,934.460998535156,Semiárido Nordeste II,2136,1775,Caatinga
332,"2927705",Santa Cruz Cabrália,BA,1462.94201660156,Costa do Descobrimento,884,567,Mata Atlântica
333,"2929057",São Félix do Coribe,BA,1751.67102050781,Bacia do Rio Corrente,982,809,Cerrado
334,"2929107",São Felipe,BA,222.406997680664,Recôncavo,2143,1783,Mata Atlântica
335,"2929206",São Francisco do Conde,BA,269.714996337891,Metropolitano de Salvador,370,276,Mata Atlântica
336,"2929255",São Gabriel,BA,1146.05395507812,Irecê,2038,1454,Caatinga
